age,education,familySize,typeOfHousing,houseOwnership,householdAnnualIncome,ageOfBuilding,freqOfMoving,ageOfCustomerAccountInDays,avgDailyUsage,lateFeePayments,AvgComplaintsRaised,AvgComplaintsResolved,modeOfPayment,typeOfPlanI,typeOfPlanII,Target
37,medium,Large,3BHK-Apt,Owned,Medium,10-20yrs,3,2-5yrs,0.766844902,1,2,1, DD,Fixed,Fixed,Yes
44,HIGH,Small,2BHK-Apt,Owned,Low,>30yrs,1,> 5yrs,1.339218343,3,7,6,Others,Variable,Variable,Yes
44,medium,Medium,1BHK-Apt,Rented,Medium,10-20yrs,4,>5yrs,9.591931607,2,8,1,Others,Fixed,Fixed,No
36,High,Medium,1BHK-Apt,Owned,High,20-30yrs,5,2-5yrs,3.479651939,1,7,1,Others,Fixed,Fixed,No
35,LOW,Medium,1BHK-Apt,Owned,Medium,<10yrs,2,2-5yrs,3.576235161,2,1,0,DD,Variable,Variable,No
41,LOW,Medium,1BHK-Apt,Rented,Medium,20-30yrs,4,> 10yrs,4.650310247,0,7,5, Others,Variable,Variable,No
45,High,Medium,Mansion,Owned,Medium,20-30yrs,1,1-2yrs,12.74064508,1,10,8,DD,Variable,Variable,Yes
30,low,Small,5BHK-House,Owned,Medium,<10yrs,3,2-5yrs,6.770416555,2,4,2,S D,Fixed,Fixed,No
38,low,Medium,2BHK-Apt,Owned,High,20-30yrs,4,1-2yrs,2.306232822,1,4,0,PPM,Variable,Variable,No
37,medium,Small,2BHK-Apt,Owned,High,10-20yrs,4,>10yrs,6.867430173,0,9,0,DD,Variable,Variable,No
49,High,Small,2BHK-Apt,Owned,Medium,10-20yrs,3,1-2yrs,2.176774362,0,8,1,SD,Fixed,Fixed,No
39,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,1,>5yrs,1.562646855,1,6,3, SD,Fixed,Fixed,No
36,HIGH,Small,5BHK-House,Rented,Medium,20-30yrs,2,<1yr,1.484073544,2,4,3,Others,Fixed,Fixed,No
32,High,Large,3BHK-Apt,Owned,Medium,20-30yrs,4,<1yr,11.93545339,1,4,1,SD,Fixed,Fixed,No
34,low,Medium,2BHK-Apt,Rented,Medium,10-20yrs,5,2-5yrs,5.656042555,3,2,0,SD,Variable,Variable,No
32,medium,Small,3BHK-Apt,Owned,Medium,20-30yrs,1,1-2yrs,0.840182975,0,0,1,DD,Variable,Variable,No
45,medium,Medium,3BHK-Apt,Owned,Medium,10-20yrs,4,1-2yrs,3.544135533,1,1,0,Others,Variable,Variable,No
39,low,Medium,3BHK-Apt,Owned,Medium,<10yrs,9,2-5yrs,3.080155375,1,5,3,Others,Variable,Variable,Yes
26,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,4,<1yr,3.434318593,0,8,3,SD,Variable,Variable,No
50,medium,Large,3BHK-Apt,Owned,Medium,>30yrs,4,1-2yrs,3.057926949,0,8,5,DD,Fixed,Fixed,No
59,low,Small,5BHK-House,Rented,Medium,10-20yrs,4,2-5yrs,5.396531515,0,4,1,SD,Fixed,Fixed,No
42,medium,Large,2BHK-Apt,Rented,Low,<10yrs,3,2-5yrs,4.204062214,1,0,1,SD,Variable,Variable,No
33,low,Large,1BHK-Apt,Owned,Low,10-20yrs,1,<1yr,3.707924773,4,6,3,SD,Fixed,Fixed,No
31,medium,Small,3BHK-Apt,Rented,High,20-30yrs,5,2-5yrs,3.508674614,1,0,0,DD,Variable,Variable,No
54,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,1,1-2yrs,5.651336854,0,2,0,Others,Variable,Variable,No
38,High,Large,3BHK-Apt,Rented,Medium,<10yrs,6,1-2yrs,12.55014322,0,8,3,DD,Variable,Variable,No
44,low,Medium,3BHK-Apt,Rented,Medium,10-20yrs,3,1-2yrs,2.680109318,4,4,1,Others,Variable,Variable,Yes
42,medium,Large,2BHK-Apt,Owned,Low,20-30yrs,9,1-2yrs,2.761075317,1,7,6,Others,Fixed,Fixed,No
